detection_type,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,discovered,omega,star_distance,star_mass,star_radius,star_age,star_teff
Primary Transit,1.071,1.381,3.547851,0.0485,,,2013,,453.0,1.209,1.404,3.2,6351.0
Primary Transit,1.59,1.58,3.2642736,0.04997,0.312,85.8,2018,,1431.0,1.56,2.26,2.07,6460.0
Primary Transit,9.7,1.33,4.193649,0.0583,0.38,80.4,2018,136.0,800.0,1.496,1.71,1.34,6424.0
Primary Transit,1.88,1.4,2.292102,0.03689,0.229,85.1,2018,,942.0,1.273,1.48,3.26,6060.0
Primary Transit,0.261,1.18,4.3888497,0.04944,0.173,89.24,2017,330.0,341.0,0.837,0.812,8.6,5099.0
Primary Transit,0.56,1.067,2.7439004,0.03649,0.279,84.65,2017,,463.0,0.86,0.847,9.7,5080.0
Primary Transit,0.7,1.286,4.1876244,0.05511,0.24,85.61,2017,,818.0,1.272,1.315,1.52,6450.0
Primary Transit,0.173,0.903,4.7423729,0.05367,0.559,87.32,2017,,448.0,0.917,0.853,3.0,5495.0
Primary Transit,0.369,1.117,3.9228038,0.04269,0.088,87.08,2020,,301.7,0.674,0.6564,8.1,4512.0
Primary Transit,0.243,0.8,3.1316666,0.03769,0.162,89.58,2020,,265.4,0.7279,0.7152,11.97,4546.0
Primary Transit,0.353,0.765,4.1480467,0.04515,0.071,88.27,2020,,324.6,0.7133,0.6977,10.5,4405.0
Primary Transit,1.323,1.02,2.516729,0.0362,0.013,88.5,2014,275.0,420.0,1.001,0.925,2.1,5403.0
Primary Transit,0.39,1.13,3.8297015,0.05046,0.516,87.54,2017,,717.0,1.168,1.117,1.2,5990.0
Primary Transit,0.768,1.41,3.3488702,0.04639,0.33,87.1,2017,,478.0,1.187,1.44,4.74,5758.0
Primary Transit,2.24,1.382,1.3665436,0.02498,0.246,84.7,2017,,631.0,1.111,1.046,1.2,6010.0
Primary Transit,0.595,1.34,3.8537768,0.04753,0.33,88.79,2017,,613.0,0.964,1.1,8.0,5644.0
Primary Transit,0.753,1.015,2.5441765,0.037,0.126,83.67,2018,,720.0,1.05,1.23,7.96,5621.0
Primary Transit,0.921,1.251,,0.05412,0.092,86.32,2018,,623.6,1.1955,1.126,0.4,6214.0
Primary Transit,0.602,1.688,4.324799,0.06043,0.019,83.29,2018,,577.1,1.573,2.201,1.894,6536.0
